wikidata_id,scientific_name,common_name,indoor_outdoor,temp_min,temp_max,soil_ph_min,soil_ph_max,soil_humidity,air_humidity,light,watering_type,watering_freq,mature_height_min,mature_height_max,pot_size_min,pot_size_max,plant_category,toxic_to,source_url,source_name
Q761494,Spathiphyllum wallisii,Peace Lily,Indoor,16,27,5.5,7.0,MoistSoil,HighHumidity,PartialShade,Pour,Regular,30,61,10,20,Tropical,Human;Dog;Cat,https://www.thespruce.com/grow-peace-lily-indoors-1902754,The Spruce
Q5018586,Calathea orbifolia,Calathea Orbifolia,Indoor,16,27,5.5,6.5,MoistSoil,HighHumidity,PartialShade,Spray,Frequent,30,61,10,20,Tropical,NonToxic,https://www.thespruce.com/grow-calathea-orbifolia-indoors-1902881,The Spruce
Q6754829,Maranta leuconeura,Prayer Plant,Indoor,16,27,5.5,6.5,MoistSoil,HighHumidity,FullShade,Spray,Regular,15,30,10,15,Herb;Tropical,NonToxic,https://www.thespruce.com/grow-maranta-leuconeura-indoors-1902755,The Spruce
Q159002,Saxifraga stolonifera,Strawberry Begonia,Indoor;Outdoor,10,21,6.0,7.0,ModerateSoil,MediumHumidity,PartialShade,Pour,Regular,15,30,8,12,Herb,NonToxic,https://www.thespruce.com/grow-strawberry-begonia-indoors-1902882,The Spruce
Q311696,Pilea peperomioides,Chinese Money Plant,Indoor,15,24,6.0,7.0,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,15,30,8,12,Herb,NonToxic,https://www.thespruce.com/grow-pilea-peperomioides-indoors-1902883,The Spruce
Q2893850,Begonia rex,Rex Begonia,Indoor,16,24,5.5,6.5,MoistSoil,HighHumidity,PartialShade,Pour,Regular,15,30,8,12,Herb;Tropical,Dog;Cat,https://www.thespruce.com/grow-rex-begonia-indoors-1902884,The Spruce
Q136883,Nephrolepis exaltata,Boston Fern,Indoor,16,24,5.5,6.5,MoistSoil,HighHumidity,PartialShade,Spray,Frequent,30,91,10,20,Fern;Tropical,NonToxic,https://www.thespruce.com/grow-boston-fern-indoors-1902761,The Spruce
Q4484257,Philodendron hederaceum,Heartleaf Philodendron,Indoor,16,27,5.5,7.0,ModerateSoil,MediumHumidity,PartialShade,Pour,Regular,91,457,10,20,Vine;Tropical,Human;Dog;Cat,https://www.thespruce.com/grow-philodendron-hederaceum-indoors-1902885,The Spruce
Q26354,Hedera helix,English Ivy,Indoor;Outdoor,5,24,6.0,7.5,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,91,305,10,20,Vine,Human;Dog;Cat;Horse,https://www.thespruce.com/grow-english-ivy-indoors-1902886,The Spruce
Q157299,Crassula ovata,Jade Plant,Indoor;Outdoor,10,32,6.0,7.5,DrySoil,LowHumidity,FullSun,Pour,Infrequent,30,91,10,20,Succulent,Dog;Cat,https://www.thespruce.com/grow-jade-plants-indoors-1902770,The Spruce
Q15312475,Zamioculcas zamiifolia,ZZ Plant,Indoor,15,30,6.0,7.0,DrySoil,LowHumidity,PartialShade,Pour,Infrequent,61,91,10,20,Tropical,Dog;Cat,https://www.thespruce.com/grow-zz-plant-indoors-1902765,The Spruce
Q137455,Schefflera arboricola,Dwarf Umbrella Tree,Indoor;Outdoor,16,27,6.0,7.0,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,91,305,15,30,Tree;Tropical,Dog;Cat,https://www.thespruce.com/grow-schefflera-arboricola-indoors-1902887,The Spruce
Q311524,Tillandsia usneoides,Spanish Moss,Indoor;Outdoor,16,32,5.5,7.0,WetSoil,VeryHighHumidity,PartialShade,Spray,Frequent,30,91,5,10,Epiphyte;Tropical,NonToxic,https://www.thespruce.com/grow-tillandsia-usneoides-indoors-1902888,The Spruce
Q2570558,Senecio rowleyanus,String of Pearls,Indoor,10,27,6.0,7.5,DrySoil,LowHumidity,FullSun,Pour,Infrequent,30,61,8,12,Succulent;Vine,Dog;Cat,https://www.thespruce.com/grow-string-of-pearls-indoors-1902889,The Spruce
Q7166271,Peperomia obtusifolia,Baby Rubber Plant,Indoor,16,27,5.5,6.5,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,15,30,8,12,Herb;Tropical,NonToxic,https://www.thespruce.com/grow-peperomia-obtusifolia-indoors-1902890,The Spruce
Q173835,Fittonia albivenis,Nerve Plant,Indoor,16,27,5.5,6.5,MoistSoil,HighHumidity,FullShade,Spray,Frequent,10,15,5,10,Herb;Tropical,NonToxic,https://www.thespruce.com/grow-fittonia-albivenis-indoors-1902891,The Spruce
